candle_open_time,open_price,high_price,low_price,close_price,btc_volume,candle_close_time,usd_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-05-01 01:57:00,58413.54000000,58418.81000000,58389.08000000,58418.81000000,0.20968600,2021-05-01 01:57:59.999,12248.42471103,8,0.19264300,11253.14035835,0
2021-05-01 01:58:00,58394.56000000,58414.98000000,58373.27000000,58384.74000000,0.54340000,2021-05-01 01:58:59.999,31736.59292377,20,0.12157500,7098.69465844,0
2021-05-01 01:59:00,58375.68000000,58427.88000000,58375.68000000,58427.88000000,0.21766700,2021-05-01 01:59:59.999,12711.24951423,13,0.18747400,10947.56758221,0
2021-05-01 02:00:00,58437.68000000,58452.22000000,58384.26000000,58384.26000000,0.59613300,2021-05-01 02:00:59.999,34827.57252923,23,0.10182600,5951.25519084,0
2021-05-01 02:01:00,58389.36000000,58436.10000000,58285.56000000,58285.56000000,0.74860000,2021-05-01 02:01:59.999,43696.77860645,33,0.17060900,9963.97583167,0
2021-05-01 02:02:00,58299.93000000,58359.52000000,58299.93000000,58341.43000000,0.01721900,2021-05-01 02:02:59.999,1004.05610715,3,0.00017200,10.03783744,0
2021-05-01 02:03:00,58358.66000000,58380.00000000,58330.21000000,58330.21000000,6.27296000,2021-05-01 02:03:59.999,366213.04249702,47,0.11527200,6728.98276460,0
2021-05-01 02:04:00,58355.80000000,58447.00000000,58355.80000000,58393.03000000,1.56739200,2021-05-01 02:04:59.999,91568.19600739,32,1.28306500,74959.49788457,0
2021-05-01 02:05:00,58367.65000000,58390.53000000,58238.98000000,58272.04000000,0.53962700,2021-05-01 02:05:59.999,31466.77615872,25,0.08576300,4998.06196504,0
2021-05-01 02:06:00,58273.58000000,58309.14000000,58142.12000000,58186.77000000,1.77892700,2021-05-01 02:06:59.999,103660.76678139,46,1.24248100,72424.09199189,0
2021-05-01 02:07:00,58206.56000000,58239.91000000,58201.33000000,58207.61000000,0.12504100,2021-05-01 02:07:59.999,7279.33344220,11,0.03581100,2084.94004383,0
2021-05-01 02:08:00,58186.15000000,58264.81000000,58186.15000000,58264.81000000,0.44735000,2021-05-01 02:08:59.999,26046.45813378,16,0.30928700,18013.10370633,0
2021-05-01 02:09:00,58253.10000000,58253.10000000,58228.35000000,58239.46000000,0.12148600,2021-05-01 02:09:59.999,7075.49399142,8,0.00000000,0.00000000,0
2021-05-01 02:10:00,58222.54000000,58256.79000000,58222.54000000,58256.79000000,0.07296700,2021-05-01 02:10:59.999,4249.65245824,6,0.07296700,4249.65245824,0
